parametri,Profitto Netto,totale
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.7000000000000004}",4439.399999999908,338
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 1.2000000000000004}",4435.200000000016,560
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 1.3000000000000003}",4420.199999999993,431
"{""perditaMassima"": 2.600000000000001, ""vincitaMassima"": 2.800000000000001}",4418.400000000086,217
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 1.2000000000000004}",4415.999999999843,524
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.400000000000001}",4389.0000000000855,242
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.700000000000001}",4380.5999999999785,246
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 0.6000000000000001}",4378.199999999835,554
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.1000000000000005}",4375.799999999867,303
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.3000000000000003}",4367.399999999938,569
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.9000000000000012}",4351.199999999939,330
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 1.5000000000000004}",4346.40000000006,336
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 1.2000000000000004}",4341.000000000027,531
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.3000000000000007}",4330.800000000107,282
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.3000000000000007}",4324.199999999985,300
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.5000000000000004}",4316.999999999868,563
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.600000000000001}",4312.199999999917,248
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 1.3000000000000003}",4309.200000000133,543
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 1.7000000000000004}",4308.599999999976,292
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.400000000000001}",4297.800000000067,241
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.000000000000001}",4297.799999999941,320
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 1.7000000000000004}",4262.999999999884,351
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 1.3000000000000003}",4260.000000000024,499
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.1000000000000005}",4254.599999999853,376
"{""perditaMassima"": 2.700000000000001, ""vincitaMassima"": 2.800000000000001}",4253.400000000106,218
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 1.1000000000000003}",4246.199999999997,478
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.5000000000000004}",4240.799999999883,369
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 2.600000000000001}",4238.399999999965,218
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.4000000000000004}",4237.800000000112,569
"{""perditaMassima"": 2.9000000000000012, ""vincitaMassima"": 2.600000000000001}",4233.599999999938,199
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.200000000000001}",4230.599999999984,326
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 1.5000000000000004}",4220.999999999927,378
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 1.3000000000000003}",4191.000000000057,547
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.9000000000000012}",4179.000000000096,305
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 1.0000000000000002}",4178.400000000065,545
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.1000000000000005}",4177.79999999995,285
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.800000000000001}",4152.599999999999,221
"{""perditaMassima"": 2.3000000000000007, ""vincitaMassima"": 2.600000000000001}",4112.399999999913,225
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.9000000000000012}",4086.599999999987,380
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.0000000000000002}",4081.200000000004,497
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 1.2000000000000004}",4066.7999999999965,457
"{""perditaMassima"": 2.600000000000001, ""vincitaMassima"": 2.700000000000001}",4062.5999999999667,226
